S.N,SECURITY_ID,SYMBOL,SECURITY_NAME
208,687,VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.
209,705,GILB,Global IME Laghubitta Bittiya Sanstha Ltd.
210,1742,MEROPO,Mero Microfinance Bittiya Sanstha Ltd. Promoter Share
211,2743,NGPL,Ngadi Group Power Ltd.
212,2744,GRDBL,Green Development Bank Ltd.
213,2776,RADHI,Radhi Bidyut Company Ltd
214,2779,NICGF,NIC Asia Growth Fund
215,2807,ALBSL,Asha Laghubitta Bittiya Sanstha Ltd
216,2813,PPCL,Panchthar Power Compant Limited
217,2826,GLBSL,Gurans Laghubitta Bittiya Sanstha Limited
218,2832,ILBS,Infinity Laghubitta Bittiya Sanstha Limited
219,2863,NICBF,NIC Asia Balanced Fund
220,2914,UMRH,United IDI Mardi RB Hydropower Limited.
221,8034,ENL,Emerging Nepal Limited
222,8111,HIDCLP,Hydorelectricity Investment and Development Company Limited Promoter
